n,year,country,pa_tr,pa_tr_na,pa_tr_in,tr_tr,le_ra_tr,le_li_hi,le_li_up_hi,n_co_tr,n_lo_di,n_ra_di,n_lo_el,ca_ve,ex_in,in_in,po,co_pr_le,le_mo,n_pa_air
18,2013-01-01,Austria,235434.0,225063.0,10371.0,134386.0,9708.0,0.0,237.0,1419.0,464.0,226.0,888.0,269.0,319.0,211.0,8451860.0,108.5,1719.0,25749724.0
11,2013-01-01,Croatia,24216.0,23810.0,406.0,16651.0,4090.0,0.0,0.0,364.0,159.0,106.0,107.0,33.0,285.277,183.147,4247803.0,70.0,1289.0,5722447.0
3,2013-01-01,Czechia,174189.0,170790.0,3399.0,127109.0,15607.0,0.0,0.0,3171.0,1126.0,737.0,770.0,288.0,712.433,377.675,10516125.0,70.1,776.0,11891812.0
4,2013-01-01,Denmark,193500.0,181151.0,12349.0,67045.0,3613.3301473126803,0.0,0.0,67.0,89.0,1088.0,36.0,141.0,564.636,381.475,5602628.0,142.2,1216.0,27459623.0
6,2013-01-01,Estonia,4199.0,4077.0,122.0,3337.0,2146.0,0.0,0.0,78.0,293.0,46.0,0.0,24.1,0.0,0.0,1320174.0,76.8,140.0,1958565.0
24,2013-01-01,Finland,69318.0,68720.0,598.0,113036.0,8523.0,0.0,622.0,505.0,221.0,16.0,155.0,78.0,622.0,421.0,5426674.0,126.1,810.0,16565391.0
10,2013-01-01,France,1164822.0,1122265.0,42557.0,383600.0,53739.875,2036.0,8878.0,15823.0,3050.0,1220.0,1701.0,712.6935334174254,9612.982461911299,5531.460582586819,65600350.0,110.5,11552.0,132762875.0
5,2013-01-01,Germany,2612764.0,2597616.0,15148.0,776000.0,70425.16,881.0,1515.0,23401.238216272053,1013.0,2128.9542885587384,2019.0,993.9093755477596,12214.34785171281,4535.0,80523746.0,106.1,12917.0,180783188.0
8,2013-01-01,Greece,13195.0,13191.0,5.0,10570.0,3109.0,0.0,0.0,521.0,142.0,109.0,30.0,36.5,133.87367735017506,439.7608358531063,11003615.0,92.4,2205.0,34023934.0
16,2013-01-01,Hungary,148379.0,145575.0,2804.0,136221.0,9523.2,0.0,0.0,2293.0,562.0,336.0,561.0,190.92901515985602,1017.858748929641,585.3319515028581,9895250.0,61.1,1562.3,8441319.0
7,2013-01-01,Ireland,37130.0,36361.0,769.0,22150.0,2426.0,0.0,0.0,0.0,180.06338411927058,244.59256379264409,3.5913849842984007,40.7,17.6,985.1210079457139,4609779.0,124.0,897.0,24603640.0
12,2013-01-01,Italy,814517.0,811391.0,3126.0,317362.0,24292.0,675.0,181.0,7730.549100079824,976.0,253.61257536666605,1983.0,403.95583401264224,3321.0,1974.0,60277309.0,105.2,6751.0,115279105.0
13,2013-01-01,Latvia,19730.0,19419.0,310.0,6149.7,2161.0,0.0,0.0,136.0,257.0,25.0,0.0,41.81486045005442,141.763,58.198,2023825.0,72.5,0.0,4782257.0
