n,year,country,pa_tr,pa_tr_na,pa_tr_in,tr_tr,le_ra_tr,le_ra_tr_el,le_ra_tr_nel,le_li,le_el_li,le_nel_li,le_li_hi,le_li_up_hi,n_ve,n_co_tr,n_ra,n_sl_ca,n_di_ca,n_lo_di,n_ra_di,n_lo_el,n_ra_el,ca_ve,ca_co,ca_ra,ex_in,in_in,po,in_ra,gdp_pc,co_pr_le,le_mo,n_pa_air
1,2013,Belgium,:,:,:,:,6256,:,:,3595,3054.938,540.062,211,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11137974,1.2,33350,111.8,1763,26389927
2,2013,Bulgaria,26059,25727,332,25456.3,6517,:,:,4032,2869,1163,0,0,1217,946,102,146,23,221,28,237,74,86.7,27.44,59.44,138,:,7202556,0.4,5470,50.8,605,7079292
3,2013,Czechia,174189,170790,3399,127109,15607,6926,8681,9560,3216,6345,0,0,4298,3171,1002,86,39,1126,737,770,265,288,147,138,712.433,377.675,10516125,1.4,15330,70.1,776,11891812
4,2013,Denmark,193500,181151,12349,67045,:,:,:,2615,621,1994,0,0,2139,67,2072,0,0,89,1088,36,984,141,134,7,564.636,381.475,5602628,0.5,44540,142.2,1216,27459623
5,2013,Germany,2612764,2597616,15148,776000,70425.16,41423.245,29001.915,38653.801,20344,18309.801,881,1515,:,:,:,:,:,:,:,:,:,:,:,:,:,4535,80523746,1.6,33950,106.1,12917,180783188
6,2013,Estonia,4199,4077,122,3337,2146,132,2014,1166,132,1034,0,0,267,78,65,118,6,293,46,0,19,24.1,7.7,16.4,:,:,1320174,3.2,12680,76.8,140,1958565
7,2013,Ireland,37130,36361,769,22150,:,:,:,1839,53,1786,0,0,426,:,:,:,:,:,:,:,:,40.7,:,:,17.6,:,4609779,0.5,37500,124,897,24603640
8,2013,Greece,13195,13191,5,10570,3109,792,2317,2586,437,2149,0,0,724,521,129,46,28,142,109,30,20,:,:,:,:,:,11003615,-0.9,16460,92.4,:,34023934
9,2013,Spain,558625,558239,386,184283,20861,14777,6085,15312,9275,6037,1919,789,4236,:,:,:,:,:,:,:,:,:,:,:,2661,2032,46712650,1.5,22000,97.3,14981,157731973
10,2013,France,1164822,1122265,42557,:,53739.875,:,:,30551,15860,14691,2036,8878,22246,15823,6404,:,:,3050,1220,1701,5184,:,:,:,:,:,65600350,1,31430,110.5,11552,132762875
11,2013,Croatia,24216,23810,406,16651,4090,1656,2434,2722,985,1737,0,0,541,364,129,32,16,159,106,107,23,33,19,14,285.277,183.147,4247803,2.3,10540,70,1289,5722447
12,2013,Italy,814517,811391,3126,:,24292,19432,4860,16752,11969,4783,675,181,:,:,:,:,:,976,:,1983,:,:,:,:,:,:,60277309,1.2,25690,105.2,6751,115279105
13,2013,Latvia,19730,19419,310,6149.7,2161,494,1667,1859,248,1611,0,0,:,:,104,:,:,257,25,0,79,:,:,22.12,141.763,58.198,2023825,0,9850,72.5,0,4782257
14,2013,Lithuania,4346,3807,538,5301,2188.7,242.3,1946.4,1767.6,122,1645.6,0,0,264,30,156,70,8,267,39,0,14,17.7,4.2,13.5,293,139,2974637,1.2,10790,64.7,309,3482358
15,2013,Luxembourg,20549,14838,5711,:,621,590,31,275,262,13,0,0,210,164,46,:,:,53,2,39,44,24,:,:,,,537039,1.7,82400,123.8,152,2169327
16,2013,Hungary,148379,145575,2804,136221,9523.2,4106.8,5416.4,7356.7,2968.6,4388.2,0,0,2594,2293,204,33,64,562,336,561,95,:,:,:,:,:,9895250,1.7,10350,61.1,1562.3,8441319
17,2013,Netherlands,:,:,:,105036,5102,4227,875,3013,2266,747,90,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16779575,2.6,38550,112,2666,58077271
18,2013,Austria,235434,225063,10371,134386,9708,8041,1667,5531,3854,1677,0,237,2287,1419,657,118,93,464,226,888,431,269,:,:,319,211,8451860,2.1,35840,108.5,1719,25749724
19,2013,Poland,257461,255619,1842,:,36939,25000,11939,19328,11868,7460,0,0,7478,5606,1489,275,108,2194,221,1838,1268,490,206,284,1818.463,1251.221,38062535,0.8,10210,57.3,1482,23274484
20,2013,Portugal,126079,125945,134,63509,3242.2,2328,914.3,2544.4,1629.1,915.3,0,0,:,:,:,:,:,:,:,:,:,:,:,:,:,57.2,10503889,0.4,16030,85.3,3035,29694146
21,2013,Romania,56422,56188,233,11110,20284,8549,11735,10768,4029,6739,0,0,4025,3407,327,291,:,1116,286,679,41,270,:,:,:,:,20020074,3.2,6850,54.7,644,10016933
22,2013,Slovenia,15995,15563,432,31429,2178,1289,889,1209,500,709,0,0,355,241,109,0,5,74,70,78,39,22,5,17,211.342,140.227,2058821,1.9,16960,85.4,607.026,1265766
23,2013,Slovakia,45946,42608,3339,36098,:,:,:,3631,1586,2045,0,0,906,575,228,79,24,497,182,487,46,64.4,64.4,:,330,323,5410836,1.5,13320,70.6,419.8,1557149
24,2013,Finland,69318,68720,598,113036,8523,4842,3681,5944,3172,2772,0,622,1163,505,512,96,48,221,16,155,171,78,43,35,622,421,5426674,2.2,34540,126.1,810,16565391
25,2013,Sweden,200706,188450,12256,37947,15468,12035,3433,10957,8214,2743,0,1668,2715,893,1684,122,16,211,83,436,1601,177,28,148,2028.319,1103.97,9555893,0.4,40310,134.3,2044,31443225
26,2013,Norway,67251,66762,489,187786,4143,2746,1397,3897,2500,1397,0,64,:,:,:,:,:,:,:,:,:,:,:,:,1133.642,838.511,5051275,2,67220,160.5,392,36686364
27,2013,Switzerland,432462,418455,14007,503827,,,,5181,5172,9,0,91,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8039060,0.1,58650,151.5,1419,44217568
28,2013,United Kingdom,1599484,1579843,19641,1827,31781,13105,18676,16195,5377,10818,109,0,:,:,:,:,:,:,:,:,:,:,:,:,9122.059,7766.762,63905342,2.6,30660,119.8,3756.02,210468980
29,2013,North Macedonia,853,842,11,1467,923,327,596,699,234,465,0,0,67,33,20,13,1,27,12,16,8,3.11,1.17,1.94,:,:,2062294,2.7,3880,48.9,259,:
30,2013,Türkiye,20989,20890,99,14732,11617,3304,8313,9718,2922,6796,888,:,1135,657,202,213,63,537,77,53,125,159.29,50.59,108.71,2442.471,2253.799,75627384,7.5,9710,65.7,2244,:
31,2014,Belgium,:,:,:,:,6250,:,:,3631,3088.465,542.535,211,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11180840,0.5,33790,111.2,1763,28776258
32,2014,Bulgaria,24615,24325,289,:,6481,:,:,4023,2861,1162,0,0,:,:,:,:,:,:,:,:,:,:,:,:,387.616,:,7117453,-1.6,5590,49.3,610,7520697
33,2014,Czechia,175705,172255,3450,125790,15578,6915,8663,9559,3216,6343,0,0,4331,3209,994,82,46,1109,730,754,264,287,152,132,877.869,454.242,10512419,0.4,15670,65.4,776,12079873
34,2014,Denmark,208311,195908,12403,66378,:,:,:,2612,621,1991,0,0,2675,113,2562,0,0,93,1093,36,1469,144,131,12,678.623,531.47,5627235,0.4,44870,143.7,1232,29015133
35,2014,Germany,2693080,2678025,15055,806000,70368.128,42130.245,28237.883,38658.765,20463,18195.765,881,1513,:,:,:,:,:,:,:,:,:,:,:,:,:,5315,80767463,0.8,34540,106,12949,186445814
36,2014,Estonia,5905,5808,97,4925,2146,132,2014,1166,132,1034,0,0,280,77,71,126,6,297,52,0,19,25.25,14.84,10.41,:,:,1315819,0.5,13140,77.5,141,2019806
37,2014,Ireland,38517,37804,713,22150,:,:,:,1839,53,1786,0,0,426,:,:,:,:,:,:,:,:,40.7,:,:,17.6,:,4637852,0.3,40710,127.9,897,26310826
38,2014,Greece,13399,13356,43,10583,2762,881,1881,2238,494,1744,0,0,707,503,132,46,26,96,112,30,20,36.5,23,:,:,:,10926807,-1.4,16700,88.7,:,39117833
39,2014,Spain,559320,558301,1019,187140,20761,14730,6032,15182,9223,6052,1908,708,4238,:,:,:,:,:,:,:,:,:,:,:,:,:,46495744,-0.2,22400,96.2,15049,165354382
40,2014,France,1157679,1114684,42994,:,52005.022,:,:,29568,16033,13535,2036,8827,22898,16226,6653,:,:,3019,1214,1675,5439,:,:,:,:,:,66165980,0.6,31580,111.1,11560.142,136360671
41,2014,Croatia,21889,21528,361,15129,4014,1650,2364,2604,970,1634,0,0,529,356,129,32,12,159,106,107,23,33,19,14,236.561,130.724,4217632,0.2,10530,68.4,1290,6140797
42,2014,Italy,821722,818577,3145,317362,24278,19418,4860,16722,11940,4782,733,123,:,:,:,:,:,921,:,1807,:,:,:,:,3321,1974,60345917,0.2,25690,106.7,6844,121164587
43,2014,Latvia,19190,18938,252,6113.9,2214,502,1712,1860,251,1608,0,0,:,:,104,:,:,254,25,0,79,:,:,22.12,254.93,135.86,2001468,0.7,10150,73.7,0,4802282
44,2014,Lithuania,4126,3672,454,5262,2188.5,242.3,1946.2,1767.6,122,1645.6,0,0,234,28,133,66,7,239,34,0,17,15.7,3.9,11.8,417,263,2947862,0.2,11290,64.6,309,3798110
45,2014,Luxembourg,21503,15466,6037,:,621,590,31,275,262,13,0,0,210,164,46,:,:,50,2,39,44,24,:,:,,,549680,0.7,82590,125.8,152,2433966
46,2014,Hungary,146010,143407,2603,138236,9359,4033,5326,7209,2967.94,4241.06,0,0,2536,2254,184,40,58,571,345,581,115,:,:,:,:,:,9850217,0,10840,60.3,1577.2,9054848
47,2014,Netherlands,:,:,:,110121,5164,4311,853,3032,2307,725,90,0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16829289,0.3,39030,114,2678,60963003
48,2014,Austria,232616,222381,10234,129507,9752,8048,1704,5531,3874,1714,0,237,2130,1289,666,94,81,464,225,889,441,253,:,:,588,272,8507786,1.5,35830,109.3,1719,26378676
49,2014,Poland,251887,250460,1426,:,37455,25020,12435,19240,11830,7410,0,80,7406,5532,1472,267,135,2220,154,1923,1318,458,180,278,2290.228,1708.53,38017856,0.1,10620,58.1,1556,25714422
50,2014,Portugal,128295,128139,156,60053,3244.1,2328.4,915.6,2546,1630.3,915.7,0,0,998,890,108,:,:,82,56,88,201,:,:,:,:,101.06,10444092,-0.2,16240,86.3,3065,32560621
51,2014,Romania,64751,64525,225,10338,20241,8533,11708,10777,4029,6748,0,0,4053,3424,346,283,:,1104,281,675,65,293,:,:,:,:,19947311,1.4,7160,55,683,10907487
52,2014,Slovenia,14435,14054,381,31848,2178,1289,889,1209,500,709,0,0,355,241,109,0,5,74,70,78,39,22,5,17,372,270,2061085,0.4,17410,86.1,607.03,1307128
53,2014,Slovakia,49098,45706,3392,35676,:,:,:,3627,1586,2041,0,0,872,533,236,79,24,494,171,479,65,61.4,61.4,:,284,276,5415949,-0.1,13670,70.5,419.7,1671290
